success	successu
participation	participazioni
software	software
patch	pezza
specific	specìficu
code	còdici
text	testu
boxes	scàtuli
time	tempu
without	senza
being	èssiri
donate	duna
donate	dunari
don't	nun
your	a to
in the	nnô
request	addumannari
languages page	pàggina dî lingui
Common Voice Data	i dati di Common Voice
reflected	rripurtata
do you have	ài
ideas	suggirimenti
on	supra
on how	supra a comu
we can	putemu
make better	ammigghiurari
let us	fanni
submission	mmiu
of the	dî
after clicking	doppu chi ammacchi
directly	ddrittu
finish	finisci
get started	accuminciari
give	duna
give	dari
grammatical	grammaticali
error	erruri
great!	bbonu!
your next clip	nàutra riggistrazziuni
great	granni
when you're ready	quannu sì prontu
calculate	càrculi
calculate	carculari
I am a non-native	ma 'un sugnu matrilingua
do you still want	vuliti macari
I'd like	Vulissi
required field	campu ubbligatoriu
my account information	i nfurmazziuna supra u me cuntu
be more accurate	ammigghiurari a pricisiuni
voice data	dati vucali
leaderboard visibility	visibbilità nnâ classìfica
leaving now	nesciri ora
means	voli diri chi
on our page	nna nostra pàggina
kitchen	cucina
recipe	ricetta
passwords	i chiavi
everywhere	unn'è-è
you’re signed	ca trasisti
task	attività
manager	gisturi
technical	tècnici
temporary	pruvvisori
